Driver_ID,Age,Gender,City,Education_Level,Income,Joining Designation,Grade,Total Business Value,Quarterly Rating,target,has_quartery_rating_increased,has_Income_increased,length_of_stay,doj_year,doj_month,doj_quater
13,30.0,0.0,C19,2,119227,1,4,400000,1,0,1,0,2041,2015,5,2
13,30.0,0.0,C19,2,119227,1,4,258610,1,0,1,0,2041,2015,5,2
13,30.0,0.0,C19,2,119227,1,4,150000,1,0,1,0,2041,2015,5,2
13,30.0,0.0,C19,2,119227,1,4,500000,1,0,1,0,2041,2015,5,2
13,30.0,0.0,C19,2,119227,1,4,200000,1,0,1,0,2041,2015,5,2
13,30.0,0.0,C19,2,119227,1,4,350000,1,0,1,0,2041,2015,5,2
13,31.0,0.0,C19,2,119227,1,4,0,1,1,1,0,2008,2015,5,2
14,39.0,1.0,C26,0,19734,3,3,0,1,0,0,0,73,2020,10,4
14,39.0,1.0,C26,0,19734,3,3,0,1,0,0,0,73,2020,10,4
14,39.0,1.0,C26,0,19734,3,3,0,1,0,0,0,73,2020,10,4
16,30.0,1.0,C23,0,52963,2,2,346800,1,0,0,0,759,2018,11,4
16,30.0,1.0,C23,0,52963,2,2,0,1,1,0,0,84,2018,11,4
17,42.0,0.0,C20,2,51099,1,1,100000,2,0,1,0,1028,2018,3,1
17,42.0,0.0,C20,2,51099,1,1,0,2,0,1,0,1028,2018,3,1
17,42.0,0.0,C20,2,51099,1,1,674990,2,0,1,0,1028,2018,3,1
17,42.0,0.0,C20,2,51099,1,1,242650,1,0,1,0,1028,2018,3,1
17,42.0,0.0,C20,2,51099,1,1,0,1,0,1,0,1028,2018,3,1
17,42.0,0.0,C20,2,51099,1,1,0,1,0,1,0,1028,2018,3,1
17,43.0,0.0,C20,2,51099,1,1,0,1,1,1,0,501,2018,3,1
18,27.0,1.0,C17,1,31631,1,1,0,1,0,0,0,719,2019,1,1
18,27.0,1.0,C17,1,31631,1,1,0,1,0,0,0,719,2019,1,1
18,27.0,1.0,C17,1,31631,1,1,0,1,0,0,0,719,2019,1,1
18,27.0,1.0,C17,1,31631,1,1,0,1,0,0,0,719,2019,1,1
18,27.0,1.0,C17,1,31631,1,1,0,1,1,0,0,111,2019,1,1
20,26.0,1.0,C19,0,40342,3,3,0,1,0,0,0,430,2019,10,4
20,26.0,1.0,C19,0,40342,3,3,0,1,0,0,0,430,2019,10,4
20,26.0,1.0,C19,0,40342,3,3,0,1,0,0,0,430,2019,10,4
20,26.0,1.0,C19,0,40342,3,3,0,1,0,0,0,430,2019,10,4
20,,1.0,C19,0,40342,3,3,0,1,0,0,0,430,2019,10,4
20,26.0,1.0,C19,0,40342,3,3,0,1,1,0,0,128,2019,10,4
21,33.0,1.0,C29,1,22755,1,1,948560,4,0,1,0,961,2018,5,2
21,33.0,1.0,C29,1,22755,1,1,551740,4,0,1,0,961,2018,5,2
21,33.0,1.0,C29,1,22755,1,1,3295370,4,0,1,0,961,2018,5,2
21,33.0,1.0,C29,1,22755,1,1,0,2,0,1,0,961,2018,5,2
21,33.0,1.0,C29,1,22755,1,1,116350,2,0,1,0,961,2018,5,2
21,33.0,1.0,C29,1,22755,1,1,533260,2,0,1,0,961,2018,5,2
21,33.0,1.0,C29,1,22755,1,1,150450,2,0,1,0,961,2018,5,2
21,33.0,1.0,C29,1,22755,1,1,0,2,0,1,0,961,2018,5,2
21,33.0,1.0,C29,1,22755,1,1,520980,2,0,1,0,961,2018,5,2
21,33.0,1.0,C29,1,22755,1,1,150600,2,0,1,0,961,2018,5,2
21,34.0,1.0,C29,1,22755,1,1,0,2,0,1,0,961,2018,5,2
21,34.0,1.0,C29,1,22755,1,1,263690,2,0,1,0,961,2018,5,2
21,34.0,1.0,C29,1,22755,1,1,150170,1,0,1,0,961,2018,5,2
21,34.0,1.0,C29,1,22755,1,1,281380,1,1,1,0,646,2018,5,2
22,40.0,0.0,C10,2,31224,1,1,216170,2,0,1,0,948,2018,5,2
22,40.0,0.0,C10,2,31224,1,1,404600,2,0,1,0,948,2018,5,2
22,40.0,0.0,C10,2,31224,1,1,819960,2,0,1,0,948,2018,5,2
22,40.0,0.0,C10,2,31224,1,1,601680,4,0,1,0,948,2018,5,2
22,40.0,0.0,C10,2,31224,1,1,635700,4,0,1,0,948,2018,5,2
22,40.0,0.0,C10,2,31224,1,1,121590,4,0,1,0,948,2018,5,2
22,40.0,0.0,C10,2,31224,1,1,653680,4,0,1,0,948,2018,5,2
22,40.0,0.0,C10,2,31224,1,1,1120560,4,0,1,0,948,2018,5,2
22,40.0,0.0,C10,2,31224,1,1,696920,4,0,1,0,948,2018,5,2
22,,0.0,C10,2,31224,1,1,200000,3,0,1,0,948,2018,5,2
22,41.0,0.0,C10,2,31224,1,1,306410,3,0,1,0,948,2018,5,2
22,41.0,0.0,C10,2,31224,1,1,499480,3,0,1,0,948,2018,5,2
22,41.0,0.0,C10,2,31224,1,1,500510,2,0,1,0,948,2018,5,2
22,41.0,0.0,C10,2,31224,1,1,658430,2,0,1,0,948,2018,5,2
22,41.0,0.0,C10,2,31224,1,1,103800,2,0,1,0,948,2018,5,2
22,41.0,0.0,C10,2,31224,1,1,0,1,1,1,0,702,2018,5,2
24,30.0,0.0,C24,2,76308,1,2,106460,2,0,1,0,948,2018,5,2
24,31.0,0.0,C24,2,76308,1,2,401310,2,0,1,0,948,2018,5,2
24,31.0,0.0,C24,2,76308,1,2,1103240,2,0,1,0,948,2018,5,2
24,31.0,0.0,C24,2,76308,1,2,312720,2,0,1,0,948,2018,5,2
24,31.0,0.0,C24,2,76308,1,2,128730,2,0,1,0,948,2018,5,2
24,31.0,0.0,C24,2,76308,1,2,97220,2,0,1,0,948,2018,5,2
24,,0.0,C24,2,76308,1,2,203240,3,0,1,0,948,2018,5,2
24,31.0,0.0,C24,2,76308,1,2,639720,3,0,1,0,948,2018,5,2
24,31.0,0.0,C24,2,76308,1,2,765920,3,0,1,0,948,2018,5,2
24,31.0,0.0,C24,2,76308,1,2,343160,2,1,1,0,520,2018,5,2
25,29.0,0.0,C24,1,102077,1,3,2552300,3,0,1,0,1155,2017,10,4
25,29.0,0.0,C24,1,102077,1,3,2143680,3,0,1,0,1155,2017,10,4
25,29.0,0.0,C24,1,102077,1,3,2925260,3,0,1,0,1155,2017,10,4
25,29.0,0.0,C24,1,102077,1,3,1030790,4,0,1,0,1155,2017,10,4
25,29.0,0.0,C24,1,102077,1,3,1833580,4,0,1,0,1155,2017,10,4
25,29.0,0.0,C24,1,102077,1,3,999610,4,0,1,0,1155,2017,10,4
25,29.0,0.0,C24,1,102077,1,3,1046670,4,0,1,0,1155,2017,10,4
25,29.0,0.0,C24,1,102077,1,3,677050,4,0,1,0,1155,2017,10,4
25,29.0,0.0,C24,1,102077,1,3,1934570,4,0,1,0,1155,2017,10,4
25,29.0,0.0,C24,1,102077,1,3,1297810,4,0,1,0,1155,2017,10,4
25,30.0,0.0,C24,1,102077,1,3,1474610,4,0,1,0,1155,2017,10,4
25,30.0,0.0,C24,1,102077,1,3,574040,4,0,1,0,1155,2017,10,4
25,30.0,0.0,C24,1,102077,1,3,2109420,4,0,1,0,1155,2017,10,4
25,30.0,0.0,C24,1,102077,1,3,2973000,4,0,1,0,1155,2017,10,4
25,30.0,0.0,C24,1,102077,1,3,3053510,4,0,1,0,1155,2017,10,4
25,30.0,0.0,C24,1,102077,1,3,-414250,3,0,1,0,1155,2017,10,4
25,30.0,0.0,C24,1,102077,1,3,350000,3,0,1,0,1155,2017,10,4
25,30.0,0.0,C24,1,102077,1,3,1219340,3,0,1,0,1155,2017,10,4
25,30.0,0.0,C24,1,102077,1,3,650000,4,0,1,0,1155,2017,10,4
25,30.0,0.0,C24,1,102077,1,3,1512060,4,0,1,0,1155,2017,10,4
25,30.0,0.0,C24,1,102077,1,3,1368060,4,0,1,0,1155,2017,10,4
25,30.0,0.0,C24,1,102077,1,3,1346140,4,0,1,0,1155,2017,10,4
25,31.0,0.0,C24,1,102077,1,3,1680680,4,0,1,0,1155,2017,10,4
25,31.0,0.0,C24,1,102077,1,3,2013180,4,0,1,0,1155,2017,10,4
26,41.0,0.0,C14,2,121529,1,3,243110,4,0,1,1,966,2018,5,2
26,41.0,0.0,C14,2,121529,1,3,646330,4,0,1,1,966,2018,5,2
26,41.0,0.0,C14,2,121529,1,3,17651940,4,0,1,1,966,2018,5,2
26,41.0,0.0,C14,2,121529,1,3,242510,4,0,1,1,966,2018,5,2
26,41.0,0.0,C14,2,121529,1,3,1098080,4,0,1,1,966,2018,5,2
26,41.0,0.0,C14,2,121529,1,3,1212720,4,0,1,1,966,2018,5,2
26,41.0,0.0,C14,2,121529,1,3,2695910,4,0,1,1,966,2018,5,2
26,41.0,0.0,C14,2,121529,1,3,494710,4,0,1,1,966,2018,5,2
26,42.0,0.0,C14,2,121529,1,3,986540,4,0,1,1,966,2018,5,2
26,42.0,0.0,C14,2,121529,1,3,9950710,4,0,1,1,966,2018,5,2
26,42.0,0.0,C14,2,121529,1,3,13097320,4,0,1,1,966,2018,5,2
26,42.0,0.0,C14,2,121529,1,3,1086370,4,0,1,1,966,2018,5,2
26,42.0,0.0,C14,2,121529,1,3,732410,2,0,1,1,966,2018,5,2
26,42.0,0.0,C14,2,121529,1,3,1511840,2,0,1,1,966,2018,5,2
26,42.0,0.0,C14,2,132577,1,4,9226690,4,0,1,1,966,2018,5,2
26,42.0,0.0,C14,2,132577,1,4,1940050,2,0,1,1,966,2018,5,2
26,42.0,0.0,C14,2,132577,1,4,970030,2,0,1,1,966,2018,5,2
26,42.0,0.0,C14,2,132577,1,4,0,2,0,1,1,966,2018,5,2
26,42.0,0.0,C14,2,132577,1,4,153590,2,0,1,1,966,2018,5,2
26,42.0,0.0,C14,2,132577,1,4,1710410,2,0,1,1,966,2018,5,2
26,43.0,0.0,C14,2,132577,1,4,440550,2,0,1,1,966,2018,5,2
26,43.0,0.0,C14,2,132577,1,4,744590,2,0,1,1,966,2018,5,2
26,43.0,0.0,C14,2,132577,1,4,1578270,2,0,1,1,966,2018,5,2
26,43.0,0.0,C14,2,132577,1,4,1453220,2,0,1,1,966,2018,5,2
29,30.0,0.0,C13,2,30312,1,1,231840,2,0,1,0,953,2018,5,2
29,30.0,0.0,C13,2,30312,1,1,278930,2,0,1,0,953,2018,5,2
29,30.0,0.0,C13,2,30312,1,1,650990,2,0,1,0,953,2018,5,2
29,30.0,0.0,C13,2,30312,1,1,111410,1,0,1,0,953,2018,5,2
29,30.0,0.0,C13,2,30312,1,1,0,1,1,1,0,368,2018,5,2
30,31.0,0.0,C6,1,69457,3,3,0,1,0,0,0,452,2019,10,4
30,31.0,0.0,C6,1,69457,3,3,0,1,0,0,0,452,2019,10,4
30,31.0,0.0,C6,1,69457,3,3,0,1,1,0,0,57,2019,10,4
31,32.0,1.0,C28,2,65189,3,3,0,1,0,1,0,177,2020,7,3
31,32.0,1.0,C28,2,65189,3,3,0,1,0,1,0,177,2020,7,3
31,32.0,1.0,C28,2,65189,3,3,0,1,0,1,0,177,2020,7,3
31,32.0,1.0,C28,2,65189,3,3,0,2,0,1,0,177,2020,7,3
31,32.0,1.0,C28,2,65189,3,3,0,2,0,1,0,177,2020,7,3
31,32.0,1.0,C28,2,65189,3,3,950940,2,0,1,0,177,2020,7,3
34,28.0,1.0,C14,1,65813,2,2,285830,2,0,1,0,150,2020,7,3
34,28.0,1.0,C14,1,65813,2,2,190180,2,0,1,0,150,2020,7,3
34,28.0,1.0,C14,1,65813,2,2,0,1,0,1,0,150,2020,7,3
34,28.0,1.0,C14,1,65813,2,2,0,1,1,1,0,106,2020,7,3
35,32.0,0.0,C5,1,68070,3,3,300000,1,0,0,0,296,2020,3,1
35,32.0,0.0,C5,1,68070,3,3,0,1,0,0,0,296,2020,3,1
35,32.0,0.0,C5,1,68070,3,3,0,1,1,0,0,59,2020,3,1
36,40.0,1.0,C18,1,32865,2,2,0,2,0,1,0,546,2019,7,3
36,40.0,1.0,C18,1,32865,2,2,0,2,0,1,0,546,2019,7,3
36,40.0,1.0,C18,1,32865,2,2,722390,2,0,1,0,546,2019,7,3
36,40.0,1.0,C18,1,32865,2,2,821020,2,0,1,0,546,2019,7,3
36,40.0,1.0,C18,1,32865,2,2,-19350,2,0,1,0,546,2019,7,3
36,40.0,1.0,C18,1,32865,2,2,145400,2,0,1,0,546,2019,7,3
36,40.0,1.0,C18,1,32865,2,2,0,1,0,1,0,546,2019,7,3
36,40.0,1.0,C18,1,32865,2,2,400000,1,0,1,0,546,2019,7,3
36,40.0,1.0,C18,1,32865,2,2,-50000,1,0,1,0,546,2019,7,3
36,40.0,1.0,C18,1,32865,2,2,1460000,3,0,1,0,546,2019,7,3
36,40.0,1.0,C18,1,32865,2,2,0,3,0,1,0,546,2019,7,3
36,41.0,1.0,C18,1,32865,2,2,139080,3,0,1,0,546,2019,7,3
36,41.0,1.0,C18,1,32865,2,2,984330,2,0,1,0,546,2019,7,3
36,41.0,1.0,C18,1,32865,2,2,-325140,2,1,1,0,394,2019,7,3
37,33.0,1.0,C14,1,57375,2,2,0,1,0,0,0,226,2020,5,2
37,33.0,1.0,C14,1,57375,2,2,300000,1,0,0,0,226,2020,5,2
37,33.0,1.0,C14,1,57375,2,2,350020,1,0,0,0,226,2020,5,2
37,33.0,1.0,C14,1,57375,2,2,0,1,0,0,0,226,2020,5,2
37,33.0,1.0,C14,1,57375,2,2,0,1,0,0,0,226,2020,5,2
37,33.0,1.0,C14,1,57375,2,2,0,1,1,0,0,153,2020,5,2
38,22.0,0.0,C27,0,13427,1,1,0,1,0,0,0,388,2019,12,4
38,22.0,0.0,C27,0,13427,1,1,0,1,0,0,0,388,2019,12,4
38,22.0,0.0,C27,0,13427,1,1,155610,1,0,0,0,388,2019,12,4
38,22.0,0.0,C27,0,13427,1,1,-155610,1,1,0,0,100,2019,12,4
39,32.0,0.0,C26,0,72888,2,2,966340,3,0,1,0,142,2020,8,3
39,32.0,0.0,C26,0,72888,2,2,554010,3,0,1,0,142,2020,8,3
39,32.0,0.0,C26,0,72888,2,2,600440,2,0,1,0,142,2020,8,3
39,32.0,0.0,C26,0,72888,2,2,150470,2,0,1,0,142,2020,8,3
39,32.0,0.0,C26,0,72888,2,2,150970,2,0,1,0,142,2020,8,3
40,,0.0,C15,0,59182,2,2,0,1,0,0,0,416,2019,11,4
40,32.0,0.0,C15,0,59182,2,2,0,1,0,0,0,416,2019,11,4
40,32.0,0.0,C15,0,59182,2,2,0,1,0,0,0,416,2019,11,4
40,32.0,0.0,C15,0,59182,2,2,0,1,1,0,0,98,2019,11,4
41,33.0,0.0,C29,2,92372,4,4,0,1,0,1,0,543,2019,7,3
41,33.0,0.0,C29,2,92372,4,4,0,1,0,1,0,543,2019,7,3
41,33.0,0.0,C29,2,92372,4,4,1061060,1,0,1,0,543,2019,7,3
41,33.0,0.0,C29,2,92372,4,4,1357440,3,0,1,0,543,2019,7,3
41,33.0,0.0,C29,2,92372,4,4,1000000,3,0,1,0,543,2019,7,3
41,34.0,0.0,C29,2,92372,4,4,2240810,3,0,1,0,543,2019,7,3
41,34.0,0.0,C29,2,92372,4,4,1002760,3,0,1,0,543,2019,7,3
41,34.0,0.0,C29,2,92372,4,4,2600330,3,0,1,0,543,2019,7,3
41,34.0,0.0,C29,2,92372,4,4,6718850,3,0,1,0,543,2019,7,3
41,34.0,0.0,C29,2,92372,4,4,0,2,0,1,0,543,2019,7,3
41,34.0,0.0,C29,2,92372,4,4,811400,2,0,1,0,543,2019,7,3
41,34.0,0.0,C29,2,92372,4,4,1071890,2,0,1,0,543,2019,7,3
41,34.0,0.0,C29,2,92372,4,4,1358260,1,0,1,0,543,2019,7,3
41,34.0,0.0,C29,2,92372,4,4,306820,1,0,1,0,543,2019,7,3
41,34.0,0.0,C29,2,92372,4,4,0,1,0,1,0,543,2019,7,3
41,34.0,0.0,C29,2,92372,4,4,775520,2,0,1,0,543,2019,7,3
41,34.0,0.0,C29,2,92372,4,4,180770,2,0,1,0,543,2019,7,3
41,35.0,0.0,C29,2,92372,4,4,1270000,2,0,1,0,543,2019,7,3
42,44.0,1.0,C28,0,45988,2,2,147900,1,0,0,0,800,2018,10,4
42,44.0,1.0,C28,0,45988,2,2,189020,1,0,0,0,800,2018,10,4
42,44.0,1.0,C28,0,45988,2,2,657770,1,0,0,0,800,2018,10,4
42,44.0,1.0,C28,0,45988,2,2,0,1,0,0,0,800,2018,10,4
42,44.0,1.0,C28,0,45988,2,2,0,1,1,0,0,208,2018,10,4
43,27.0,1.0,C15,0,12906,1,1,359890,1,0,0,0,899,2018,7,3
43,27.0,,C15,0,12906,1,1,0,1,1,0,0,222,2018,7,3
44,28.0,0.0,C17,2,62100,1,1,0,1,0,0,0,94,2020,9,3
44,28.0,0.0,C17,2,62100,1,1,150110,1,0,0,0,94,2020,9,3
44,28.0,0.0,C17,2,62100,1,1,0,1,1,0,0,60,2020,9,3
45,35.0,0.0,C8,2,77544,3,3,0,1,0,1,0,213,2020,5,2
45,35.0,0.0,C8,2,77544,3,3,1262040,3,0,1,0,213,2020,5,2
45,35.0,0.0,C8,2,77544,3,3,1202980,3,0,1,0,213,2020,5,2
45,35.0,0.0,C8,2,77544,3,3,-58440,3,0,1,0,213,2020,5,2
45,35.0,0.0,C8,2,77544,3,3,964680,3,0,1,0,213,2020,5,2
45,35.0,0.0,C8,2,77544,3,3,334320,3,0,1,0,213,2020,5,2
45,35.0,0.0,C8,2,77544,3,3,1521760,3,0,1,0,213,2020,5,2
46,36.0,1.0,C25,2,42171,1,1,231860,1,0,0,0,792,2018,10,4
46,36.0,1.0,C25,2,42171,1,1,106430,1,0,0,0,792,2018,10,4
46,36.0,1.0,C25,2,42171,1,1,0,1,1,0,0,122,2018,10,4
47,30.0,0.0,C21,1,28000,1,1,0,2,0,0,0,80,2020,10,4
47,30.0,0.0,C21,1,28000,1,1,484060,2,0,0,0,80,2020,10,4
47,30.0,0.0,C21,1,28000,1,1,382210,2,0,0,0,80,2020,10,4
49,21.0,0.0,C20,0,53039,1,2,171760,1,0,1,0,948,2018,5,2
49,21.0,,C20,0,53039,1,2,0,1,0,1,0,948,2018,5,2
49,21.0,0.0,C20,0,53039,1,2,392890,1,0,1,0,948,2018,5,2
49,21.0,0.0,C20,0,53039,1,2,106160,1,0,1,0,948,2018,5,2
49,,0.0,C20,0,53039,1,2,124190,1,0,1,0,948,2018,5,2
49,21.0,0.0,C20,0,53039,1,2,0,1,0,1,0,948,2018,5,2
49,21.0,0.0,C20,0,53039,1,2,503500,2,0,1,0,948,2018,5,2
49,21.0,,C20,0,53039,1,2,300300,2,0,1,0,948,2018,5,2
49,21.0,0.0,C20,0,53039,1,2,0,2,0,1,0,948,2018,5,2
49,21.0,0.0,C20,0,53039,1,2,0,1,0,1,0,948,2018,5,2
49,,0.0,C20,0,53039,1,2,0,1,0,1,0,948,2018,5,2
49,21.0,0.0,C20,0,53039,1,2,200000,1,0,1,0,948,2018,5,2
49,22.0,0.0,C20,0,53039,1,2,0,1,1,1,0,606,2018,5,2
50,49.0,1.0,C5,0,89367,3,3,110310,1,0,0,0,769,2018,11,4
50,49.0,1.0,C5,0,89367,3,3,0,1,1,0,0,92,2018,11,4
51,33.0,0.0,C14,0,131347,4,4,0,1,0,1,0,1316,2017,5,2
51,33.0,0.0,C14,0,131347,4,4,0,1,0,1,0,1316,2017,5,2
51,33.0,0.0,C14,0,131347,4,4,0,1,0,1,0,1316,2017,5,2
51,33.0,0.0,C14,0,131347,4,4,0,1,0,1,0,1316,2017,5,2
51,33.0,0.0,C14,0,131347,4,4,200000,2,0,1,0,1316,2017,5,2
51,33.0,0.0,C14,0,131347,4,4,845500,2,0,1,0,1316,2017,5,2
51,33.0,0.0,C14,0,131347,4,4,742500,2,0,1,0,1316,2017,5,2
51,33.0,0.0,C14,0,131347,4,4,250000,2,0,1,0,1316,2017,5,2
51,34.0,0.0,C14,0,131347,4,4,570000,2,0,1,0,1316,2017,5,2
51,34.0,0.0,C14,0,131347,4,4,582010,2,1,1,0,945,2017,5,2
52,36.0,0.0,C19,0,48687,3,3,0,1,0,1,0,183,2020,6,2
52,36.0,0.0,C19,0,48687,3,3,0,1,0,1,0,183,2020,6,2
52,36.0,0.0,C19,0,48687,3,3,493300,1,0,1,0,183,2020,6,2
52,37.0,0.0,C19,0,48687,3,3,502020,2,0,1,0,183,2020,6,2
52,37.0,0.0,C19,0,48687,3,3,556710,2,0,1,0,183,2020,6,2
52,37.0,0.0,C19,0,48687,3,3,300560,2,0,1,0,183,2020,6,2
54,33.0,0.0,C29,1,117993,4,4,0,2,0,1,1,536,2019,7,3
54,33.0,0.0,C29,1,117993,4,4,0,2,0,1,1,536,2019,7,3
54,33.0,0.0,C29,1,117993,4,4,2000000,2,0,1,1,536,2019,7,3
54,33.0,0.0,C29,1,117993,4,4,0,3,0,1,1,536,2019,7,3
54,33.0,0.0,C29,1,117993,4,4,1950000,3,0,1,1,536,2019,7,3
54,34.0,0.0,C29,1,117993,4,4,1455010,3,0,1,1,536,2019,7,3
54,34.0,0.0,C29,1,117993,4,4,3398000,4,0,1,1,536,2019,7,3
54,34.0,0.0,C29,1,117993,4,4,6062470,4,0,1,1,536,2019,7,3
54,34.0,0.0,C29,1,117993,4,4,14620880,4,0,1,1,536,2019,7,3
54,34.0,0.0,C29,1,117993,4,4,0,2,0,1,1,536,2019,7,3
54,34.0,0.0,C29,1,117993,4,4,1380000,2,0,1,1,536,2019,7,3
54,34.0,0.0,C29,1,127826,4,5,1449260,3,0,1,1,536,2019,7,3
54,34.0,0.0,C29,1,127826,4,5,193240,1,0,1,1,536,2019,7,3
54,34.0,0.0,C29,1,127826,4,5,350000,1,0,1,1,536,2019,7,3
54,34.0,0.0,C29,1,127826,4,5,0,1,0,1,1,536,2019,7,3
54,34.0,0.0,C29,1,127826,4,5,0,1,0,1,1,536,2019,7,3
54,34.0,0.0,C29,1,127826,4,5,0,1,0,1,1,536,2019,7,3
54,35.0,0.0,C29,1,127826,4,5,964430,1,0,1,1,536,2019,7,3
55,30.0,1.0,C8,0,29985,1,1,0,1,0,0,0,403,2019,11,4
55,30.0,1.0,C8,0,29985,1,1,0,1,0,0,0,403,2019,11,4
55,30.0,1.0,C8,0,29985,1,1,0,1,0,0,0,403,2019,11,4
55,30.0,1.0,C8,0,29985,1,1,0,1,0,0,0,403,2019,11,4
55,30.0,1.0,C8,0,29985,1,1,0,1,1,0,0,115,2019,11,4
56,34.0,1.0,C19,2,80223,1,1,402040,3,0,1,0,892,2018,7,3
56,34.0,1.0,C19,2,80223,1,1,358980,3,0,1,0,892,2018,7,3
56,34.0,1.0,C19,2,80223,1,1,1111110,3,0,1,0,892,2018,7,3
56,34.0,1.0,C19,2,80223,1,1,0,2,0,1,0,892,2018,7,3
56,34.0,1.0,C19,2,80223,1,1,428450,2,0,1,0,892,2018,7,3
56,34.0,1.0,C19,2,80223,1,1,0,2,0,1,0,892,2018,7,3
56,34.0,1.0,C19,2,80223,1,1,717580,4,0,1,0,892,2018,7,3
56,34.0,1.0,C19,2,80223,1,1,500000,4,0,1,0,892,2018,7,3
56,35.0,1.0,C19,2,80223,1,1,936760,4,0,1,0,892,2018,7,3
56,35.0,1.0,C19,2,80223,1,1,1125300,3,0,1,0,892,2018,7,3
56,35.0,1.0,C19,2,80223,1,1,500000,3,0,1,0,892,2018,7,3
56,35.0,1.0,C19,2,80223,1,1,0,3,0,1,0,892,2018,7,3
56,35.0,1.0,C19,2,80223,1,1,156710,2,0,1,0,892,2018,7,3
56,35.0,1.0,C19,2,80223,1,1,0,2,0,1,0,892,2018,7,3
56,35.0,1.0,C19,2,80223,1,1,1198140,2,0,1,0,892,2018,7,3
56,35.0,1.0,C19,2,80223,1,1,0,3,0,1,0,892,2018,7,3
56,35.0,1.0,C19,2,80223,1,1,438580,3,0,1,0,892,2018,7,3
